"hypervisorId__hypervisorId","name","guestIds__guestId","guestIds__state","guestIds__attributes__active","guestIds__attributes__virtWhoType","facts__hypervisor.type","facts__dmi.system.uuid","facts__cpu.cpu_socket(s)","facts__hypervisor.cluster","facts__hypervisor.version"
"","","55960042-d527-e469-5842-f4640d273a51","5","0","esx","","","","",""
"","","5b1c0042-b86c-e0ff-a58f-3d0fa301fa2d","1","1","esx","","","","",""
"","","5e6c0042-626d-4d7b-8a27-078bcf4e3149","1","1","esx","","","","",""
"","","607b0042-f96d-dfd0-828f-b6a0f7ce1c21","1","1","esx","","","","",""
"","","7b250042-42bf-624e-cf46-37836e8e531f","1","1","esx","","","","",""
"","","7bc00042-6a9b-fcf4-4001-b5c4ed59fde4","5","0","esx","","","","",""
"","","902d0042-0173-605b-a091-406630199fe7","1","1","esx","","","","",""
"","","94f70042-774a-253b-a137-ae63b9ce8317","1","1","esx","","","","",""
"","","9f430042-4dbf-d9ee-2193-7b8941d85a0d","1","1","esx","","","","",""
"","","ab9e0042-2d27-d49f-8997-108b4af63a31","1","1","esx","","","","",""
"","","ae8b0042-0f53-bbc2-bd6e-70fa835c2302","1","1","esx","","","","",""
"","","b7460042-df1f-8fab-59d2-e876c747a5ad","1","1","esx","","","","",""
"","","b7560042-22aa-5c62-1047-ed0e681fbf1c","1","1","esx","","","","",""
"","","b7b90042-512a-6c28-378c-36478b11b22b","1","1","esx","","","","",""
"","","b8e50042-ae76-f175-127b-d34d75ba1182","5","0","esx","","","","",""
"","","baa10042-1fda-b433-fa6c-584cbda9e273","5","0","esx","","","","",""
"","","bf830042-4d6f-8c61-9c67-45e6ae13c15f","1","1","esx","","","","",""
"","","c5050042-6146-c2f9-0abb-c5346d70c049","1","1","esx","","","","",""
"","","c9610042-c163-0803-e822-188faae32589","1","1","esx","","","","",""
"","","d6a70042-7ec6-ebce-8233-1ac22d9eccf9","1","1","esx","","","","",""
"","","e7030042-51f6-6337-c652-97378a267aa8","5","0","esx","","","","",""
"","","fadb0042-33c1-50fd-4bfe-af910a3de280","5","0","esx","","","","",""
"astron-2.example.com","astron-2.example.com","070e0042-b00b-a7ea-d9c0-07eacece28ca","1","1","esx","VMware ESXi","4c4c4544-0035-5610-8035-b7c04f513033","2","sysmgmt","6.7.0"
"","","0cdd0042-3bfa-6eb2-01c8-768db48e0e6d","5","0","esx","","","","",""
"","","147e0042-c115-eed0-138a-1f90efad8c38","1","1","esx","","","","",""
"","","1f040042-494e-3b6b-677e-2ce3b97c1a66","5","0","esx","","","","",""
"","","216a0042-5892-2654-8e90-f120049f22fc","1","1","esx","","","","",""
"","","396e0042-630b-5e7b-de86-1fb4c3405617","1","1","esx","","","","",""
"","","39e70042-4911-076b-eb88-b0f749225147","1","1","esx","","","","",""
"","","3b400042-1a58-15fa-a486-b0fea481955e","1","1","esx","","","","",""
"","","3d6d0042-7ffc-d036-3a26-95dca93db999","5","0","esx","","","","",""
